enrollment_id,student_id,course_id,course_name,semester,grade
E001,S001,CS301,Data Structures,Fall 2024,82
E002,S001,CS302,Algorithms,Fall 2024,78
E003,S002,DS201,Intro to Data Science,Fall 2024,85
E004,S002,DS202,Machine Learning Basics,Spring 2025,79
E005,S003,MA401,Abstract Algebra,Fall 2024,91
E006,S003,MA402,Real Analysis,Spring 2025,88
E007,S004,ST101,Intro to Statistics,Fall 2024,74
E008,S004,ST102,Probability Theory,Spring 2025,71
E009,S005,CS201,Programming Fundamentals,Fall 2024,83
E010,S005,CS202,Object-Oriented Design,Spring 2025,80
E011,S006,DS301,Big Data Analytics,Fall 2024,76
E012,S006,DS302,Data Visualization,Spring 2025,81
E013,S007,MA101,Calculus I,Fall 2024,68
E014,S007,MA102,Calculus II,Spring 2025,72
E015,S008,ST401,Bayesian Statistics,Fall 2024,87
E016,S008,ST402,Time Series Analysis,Spring 2025,84
E017,S009,CS101,Intro to Programming,Fall 2024,77
E018,S009,CS102,Discrete Mathematics,Spring 2025,73
E019,S010,DS401,Deep Learning,Fall 2024,90
E020,S010,DS402,Natural Language Processing,Spring 2025,86
E021,S011,MA201,Linear Algebra,Fall 2024,79
E022,S011,MA202,Differential Equations,Spring 2025,75
E023,S012,ST301,Regression Analysis,Fall 2024,82
E024,S012,ST302,Experimental Design,Spring 2025,78
E025,S013,CS401,Operating Systems,Fall 2024,93
E026,S013,CS402,Distributed Systems,Spring 2025,89
E027,S014,DS101,Data Literacy,Fall 2024,65
E028,S014,DS102,Python for Data Science,Spring 2025,70
E029,S015,MA301,Number Theory,Fall 2024,84
E030,S015,MA302,Topology,Spring 2025,80
E031,S016,ST201,Statistical Methods,Fall 2024,73
E032,S016,ST202,Survey Sampling,Spring 2025,69
E033,S017,CS201,Programming Fundamentals,Fall 2024,81
E034,S017,CS202,Object-Oriented Design,Spring 2025,77
E035,S018,DS301,Big Data Analytics,Fall 2024,85
E036,S018,DS302,Data Visualization,Spring 2025,82
E037,S019,MA401,Abstract Algebra,Fall 2024,92
E038,S019,MA402,Real Analysis,Spring 2025,88
E039,S020,ST101,Intro to Statistics,Fall 2024,71
E040,S020,ST102,Probability Theory,Spring 2025,67
E041,S021,CS301,Data Structures,Fall 2024,84
E042,S021,CS302,Algorithms,Spring 2025,80
E043,S022,DS201,Intro to Data Science,Fall 2024,78
E044,S022,DS202,Machine Learning Basics,Spring 2025,74
E045,S023,MA101,Calculus I,Fall 2024,62
E046,S023,MA102,Calculus II,Spring 2025,66
E047,S024,ST401,Bayesian Statistics,Fall 2024,86
E048,S024,ST402,Time Series Analysis,Spring 2025,83
E049,S025,CS401,Operating Systems,Fall 2024,91
E050,S025,CS402,Distributed Systems,Spring 2025,87
E051,S026,DS101,Data Literacy,Fall 2024,69
E052,S026,DS102,Python for Data Science,Spring 2025,73
E053,S027,MA201,Linear Algebra,Fall 2024,80
E054,S027,MA202,Differential Equations,Spring 2025,76
E055,S028,ST301,Regression Analysis,Fall 2024,79
E056,S028,ST302,Experimental Design,Spring 2025,75
E057,S029,CS101,Intro to Programming,Fall 2024,67
E058,S029,CS102,Discrete Mathematics,Spring 2025,71
E059,S030,DS401,Deep Learning,Fall 2024,88
E060,S030,DS402,Natural Language Processing,Spring 2025,85
E061,S031,MA301,Number Theory,Fall 2024,83
E062,S031,MA302,Topology,Spring 2025,79
E063,S032,ST201,Statistical Methods,Fall 2024,76
E064,S032,ST202,Survey Sampling,Spring 2025,72
E065,S033,CS201,Programming Fundamentals,Fall 2024,80
E066,S033,CS202,Object-Oriented Design,Spring 2025,77
E067,S034,DS301,Big Data Analytics,Fall 2024,83
E068,S034,DS302,Data Visualization,Spring 2025,79
E069,S035,MA401,Abstract Algebra,Fall 2024,90
E070,S035,MA402,Real Analysis,Spring 2025,86
E071,S036,ST101,Intro to Statistics,Fall 2024,70
E072,S036,ST102,Probability Theory,Spring 2025,66
E073,S037,CS301,Data Structures,Fall 2024,86
E074,S037,CS302,Algorithms,Spring 2025,82
E075,S038,DS201,Intro to Data Science,Fall 2024,74
E076,S038,DS202,Machine Learning Basics,Spring 2025,70
E077,S039,MA101,Calculus I,Fall 2024,60
E078,S039,MA102,Calculus II,Spring 2025,64
E079,S040,ST401,Bayesian Statistics,Fall 2024,87
E080,S040,ST402,Time Series Analysis,Spring 2025,83
E081,S041,CS401,Operating Systems,Fall 2024,92
E082,S041,CS402,Distributed Systems,Spring 2025,88
E083,S042,DS101,Data Literacy,Fall 2024,66
E084,S042,DS102,Python for Data Science,Spring 2025,71
E085,S043,MA201,Linear Algebra,Fall 2024,77
E086,S043,MA202,Differential Equations,Spring 2025,73
E087,S044,ST301,Regression Analysis,Fall 2024,81
E088,S044,ST302,Experimental Design,Spring 2025,77
E089,S045,CS101,Intro to Programming,Fall 2024,75
E090,S045,CS102,Discrete Mathematics,Spring 2025,72
E091,S046,DS401,Deep Learning,Fall 2024,89
E092,S046,DS402,Natural Language Processing,Spring 2025,85
E093,S047,MA301,Number Theory,Fall 2024,84
E094,S047,MA302,Topology,Spring 2025,80
E095,S048,ST201,Statistical Methods,Fall 2024,74
E096,S048,ST202,Survey Sampling,Spring 2025,70
E097,S049,CS201,Programming Fundamentals,Fall 2024,79
E098,S049,CS202,Object-Oriented Design,Spring 2025,76
E099,S050,DS301,Big Data Analytics,Fall 2024,84
E100,S050,DS302,Data Visualization,Spring 2025,81
