id,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,payment_type,fare_amount,tip_amount,airport_fee,PUBorough,DOBorough
1,2023-03-01 05:00:00,2023-03-01 05:09:00,2,1.5,1,1,6,0.9,0,Manhattan,Manhattan
2,2023-03-01 10:00:00,2023-03-01 10:10:00,3,1.62,1,1,6.5,0.97,0,Manhattan,Manhattan
3,2023-03-01 15:00:00,2023-03-01 15:11:00,4,1.75,1,2,7,0,0,Manhattan,Manhattan
4,2023-03-01 20:00:00,2023-03-01 20:12:00,1,2.0,1,1,8,1.2,,Manhattan,Manhattan
5,2023-03-02 01:00:00,2023-03-02 01:13:00,2,0,1,1,3,0.45,0,Manhattan,Manhattan
6,2023-03-02 06:00:00,2023-03-02 06:14:00,3,18,2,2,45,0,1.25,Manhattan,Queens
7,2023-03-02 11:00:00,2023-03-02 11:15:00,4,0.0,1,1,-12.5,0.0,0,Manhattan,Manhattan
8,2023-03-02 16:00:00,2023-03-02 16:16:00,,2.25,1,1,9,1.35,0,Manhattan,Manhattan
9,2023-03-02 21:00:00,2023-03-02 21:17:00,2,2.5,1,2,10,0,0,Manhattan,Manhattan
10,2023-03-03 02:00:00,2023-03-03 02:18:00,3,2.75,1,1,11,1.65,,Manhattan,Manhattan
11,2023-03-03 07:00:00,2023-03-03 07:19:00,4,0,1,1,3.5,0.53,0,Manhattan,Manhattan
12,2023-03-03 12:00:00,2023-03-03 12:20:00,1,2.88,1,2,11.5,0,0,Manhattan,Manhattan
13,2023-03-03 17:00:00,2023-03-03 17:21:00,2,3.0,,1,12,1.8,0,Manhattan,Manhattan
14,2023-03-03 22:00:00,2023-03-03 22:22:00,3,3.25,1,1,13,1.95,0,Manhattan,Manhattan
15,2023-03-01 03:00:00,2023-03-01 03:23:00,4,0.0,1,2,-3.5,0,0,Manhattan,Manhattan
16,2023-03-01 08:00:00,2023-03-01 08:24:00,1,3.5,1,1,14,2.1,0,Manhattan,Manhattan
17,2023-03-01 13:00:00,2023-03-01 13:25:00,2,3.75,1,1,15,2.25,0,Manhattan,Manhattan
18,2023-03-01 18:00:00,2023-03-01 18:26:00,3,18,2,2,52,0,1.25,Manhattan,Queens
19,2023-03-01 23:00:00,2023-03-01 23:27:00,4,4.0,1,1,16,2.4,0,Manhattan,Manhattan
20,2023-03-02 04:00:00,2023-03-02 04:28:00,1,0,1,1,4,0.6,0,Manhattan,Manhattan
21,2023-03-02 09:00:00,2023-03-02 09:29:00,2,4.25,1,2,17,0,0,Manhattan,Manhattan
22,2023-03-02 14:00:00,2023-03-02 14:30:00,,4.5,1,1,18,2.7,0,Manhattan,Manhattan
23,2023-03-02 19:00:00,2023-03-02 19:31:00,4,4.88,1,1,19.5,2.92,0,Manhattan,Manhattan
24,2023-03-03 00:00:00,2023-03-03 00:32:00,1,5.0,1,2,20,0,0,Manhattan,Manhattan
25,2023-03-03 05:00:00,2023-03-03 05:33:00,2,5.25,,1,21,3.15,0,Manhattan,Manhattan
26,2023-03-03 10:00:00,2023-03-03 10:34:00,3,6.7,1,1,399,59.85,0,Manhattan,Manhattan
27,2023-03-03 15:00:00,2023-03-03 15:35:00,4,5.5,1,2,22,0,0,Manhattan,Manhattan
28,2023-03-03 20:00:00,2023-03-03 20:36:00,1,6.9,1,1,27.6,4.14,0,Manhattan,Manhattan
29,2023-03-01 01:00:00,2023-03-01 01:37:00,2,1.38,1,1,5.5,0.82,0,Manhattan,Manhattan
30,2023-03-01 06:00:00,2023-03-01 06:38:00,3,0,1,2,5,0,0,Manhattan,Manhattan
